Customer Remarks,category,cleaned_remarks,category_encoded
Good ,Returns,good,10
Baat karne ka Tarika bahut achha h mam ka ????,Returns,baat karne ka tarika bahut achha h mam ka,10
I am happy to take with the customer support team ,Returns,i am happy to take with the customer support team,10
No,Order Related,no,5
Na,Product Queries,na,8
It is the duty of the customer care people to help the customers and they are doing their duty very well. Thank you Shopzilla for helping us. ,Refund Related,it is the duty of the customer care people to help the customers and they are doing their duty very well thank you shopzilla for helping us,9
Good ,Payments related,good,7
No,Product Queries,no,8
  is very supportive thank to her,Returns,is very supportive thank to her,10
All Good ??,Order Related,all good,5
Customer care madam very good person.. she solve my issue ????,Order Related,customer care madam very good person she solve my issue,5
Not proper information and very time teking ,Refund Related,not proper information and very time teking,9
thanks,Returns,thanks,10
Not sporting ,Returns,not sporting,10
Apse baat  ,Feedback,apse baat,2
Thanks,Returns,thanks,10
"Nothing, just solve my issue , returning related. ",Returns,nothing just solve my issue returning related,10
Good Behaviour ,Returns,good behaviour,10
Excellent communication ,Shopzilla Related,excellent communication,11
Thanks ??,Order Related,thanks,5
Very good ,Order Related,very good,5
Shopzilla are bad app for online shoping pardcut are not good and problem are not solved ,Returns,shopzilla are bad app for online shoping pardcut are not good and problem are not solved,10
Don\u2019t deliver wrong products Deliver the products what customer ordered ,Returns,donu2019t deliver wrong products deliver the products what customer ordered,10
Very nice ,Returns,very nice,10
Very bad ,Feedback,very bad,2
The issue of vacuum cleaner is not yet resolved.There is extreme delay in delivery of the product.Kindly provide concrete solution at the earliest,Order Related,the issue of vacuum cleaner is not yet resolvedthere is extreme delay in delivery of the productkindly provide concrete solution at the earliest,5
Nothing ,Refund Related,nothing,9
Good ,Product Queries,good,8
????????,Returns,,10
More comfortable ,Returns,more comfortable,10
  mam aapse baat karke bahut axa lga full help   aapne   thank you Mam,Returns,mam aapse baat karke bahut axa lga full help aapne thank you mam,10
Problem not resolved,Product Queries,problem not resolved,8
Make delivery more fast. It take 7-10 days for even smaller products to get delivered in Chhattisgarh State capital Raipur,Returns,make delivery more fast it take 710 days for even smaller products to get delivered in chhattisgarh state capital raipur,10
Very good ,Order Related,very good,5
Very good ,Returns,very good,10
No,Returns,no,10
Good,Returns,good,10
One Assist Protection plan's Invoice not available on Shopzilla.,Order Related,one assist protection plans invoice not available on shopzilla,5
Worst service,Returns,worst service,10
   bhut he good hai  Shopzilla ko  thankyou,Order Related,bhut he good hai shopzilla ko thankyou,5
Thanks??,Cancellation,thanks,1
Solution not provided ,Order Related,solution not provided,5
Very polite ,Offers & Cashback,very polite,3
It's good ,Order Related,its good,5
Provide honest delivery staff,Returns,provide honest delivery staff,10
Customer care services is very good,Feedback,customer care services is very good,2
No suggestions Shopzilla is always giving the best services just look after the packaging...i have doubt on packaging this time as things are not in order as order id.,Returns,no suggestions shopzilla is always giving the best services just look after the packagingi have doubt on packaging this time as things are not in order as order id,10
thank you sir ,Refund Related,thank you sir,9
Good,Order Related,good,5
Nice ,Refund Related,nice,9
Thnkyou ,Refund Related,thnkyou,9
  customer service ,Returns,customer service,10
Loved shopping with Shopzilla,Shopzilla Related,loved shopping with shopzilla,11
Good ,Refund Related,good,9
Nothing ,Returns,nothing,10
good supports Shopzilla team..,Order Related,good supports shopzilla team,5
If a delivery agent didnt contaceted customer and he himself says that customer rejected the product qnd cancelled the order placed without reaching customer is highly unethical and these delivery agent are giving false statment on customers. Shopzilla should make stronger policy to take care of these kind of issues that customer faces from delivery agent.,Order Related,if a delivery agent didnt contaceted customer and he himself says that customer rejected the product qnd cancelled the order placed without reaching customer is highly unethical and these delivery agent are giving false statment on customers shopzilla should make stronger policy to take care of these kind of issues that customer faces from delivery agent,5
